,Clip_Name,sentence,label_desc,use,label
125,Ses01F_impro06_F012,"I don't know. It just, like, I felt so bad because I shouldn't have done it. I don't know. Whatever.",Negative,validation,0
126,Ses01F_impro06_F013,I don't know.,Negative,validation,0
127,Ses01F_impro06_F014,At the cemetery?,Negative,test,0
128,Ses01F_impro06_F015,couple hours.,Negative,train,0
129,Ses01F_impro06_F016,"I brought- I brought Chuck with me. He went to Redlands, yeah, for the day. We ran through the sprinklers.",Neutral,train,1
130,Ses01F_impro06_F018,Yeah. It's huge. Redlands is an old city so they have lots and lots of stones.,Neutral,train,1
131,Ses01F_impro06_F019,Yeah.,Neutral,train,1
132,Ses01F_impro06_F020,"It's weird. Whenever I go back to town, I think of her. I mean, it's like ... I mean we grew up together and she died when we were twenty one. And yeah. She had cancer, she had two brain tumors.",Negative,validation,0
133,Ses01F_impro06_F021,"My best friend Heather. She's got a- we have a- we built this like little-- There's a park, Prospect Park. And there is like a garden section of it that we set up for her.",Negative,validation,0
134,Ses01F_impro06_F022,She used to have these poetry parties on Memorial Day.,Negative,train,0
135,Ses01F_impro06_F023,Umm. Yeah.,Negative,train,0
136,Ses01F_impro06_F024,"And the last time before she died, I remember she couldn't really stand, umm...",Negative,train,0
137,Ses01F_impro06_F025,"But I mean she could, but it was- so it was kind of sitting at her feet holding her up and she had these poems she had memorized. And I remember looking up, she had curly red hair and there was this palm tree right behind her and it was like a crown growing right out of her head. It was cool.",Negative,validation,0
138,Ses01F_impro06_F026,"Some, I guess. She memorized this one, John Dunn, it's called, Death Be Not Proud. and-",Negative,train,0
139,Ses01F_impro06_F027,"There's another one, I can't remember.",Neutral,test,1
140,Ses01F_impro06_F028,"I remember, too, when we were-- she died at U.C.L.A. She had brain surgery and there was not much hope to begin with, but I gave blood for her surgery, her mom and I before, so we dropped her off in the waiting room and then we were giving blood and came back. And she, in her wheelchair, like can hardly do anything, reciting her poetry for these people like in the waiting room. All she needs is a God damn audience. You know?",Negative,train,0
141,Ses01F_impro06_M000,"I'm sorry, Joy.",Negative,train,0
142,Ses01F_impro06_M001,Is there anything I can get you? Do you want me to take care of anything for you or...?,Neutral,train,1
143,Ses01F_impro06_M002,...pick up anything?,Neutral,train,1
144,Ses01F_impro06_M003,You know you are welcome to stay at my house if you want to just check out for a couple days and hang out.,Negative,validation,0
145,Ses01F_impro06_M004,Hmm.,Neutral,validation,1
146,Ses01F_impro06_M005,Oh. She was there?,Neutral,train,1
147,Ses01F_impro06_M007,Yeah.,Negative,validation,0
148,Ses01F_impro06_M016,So she wrote a lot of poetry?,Neutral,test,1
149,Ses01F_impro07_M012,Is this a Masters or a P.h.D.? Or can you...? Nice,Neutral,test,1
150,Ses01F_impro07_M013,"That's good. Don't you have to like teach a class, too, when you do that?",Neutral,train,1
151,Ses01F_impro07_M018,"Of course, right. That's where the real money is, being a student.",Neutral,validation,1
152,Ses01F_impro07_M019,That's how you get the big bucks. Are you messing with the chair? Don't ruin it.,Positive,validation,2
153,Ses01F_script01_1_F005,"He's dreaming of him again, walking around.",Neutral,train,1
154,Ses01F_script01_1_F015,"Well I got an idea, but what's your story?",Neutral,train,1
155,Ses01F_script01_1_F034,Just give it some more thought.,Neutral,validation,1
156,Ses01F_script01_1_F035,What the hell is this?,Negative,train,0
157,Ses01F_script01_1_F037,You have a business here. What the hell is this?,Negative,test,0
158,Ses01F_script01_1_F038,Oh. Must you be inspired?,Negative,validation,0
159,Ses01F_script01_1_F041,"All right. But you don't want to think like that because what the hell are we working for, Chris? It's all for you. This whole shooting match is for you.",Negative,train,0
160,Ses01F_script01_1_F042,Just don't think like that.,Negative,train,0
161,Ses01F_script01_1_M000,He saw it.,Neutral,train,1
162,Ses01F_script01_1_M001,He was out here when it broke.,Neutral,validation,1
163,Ses01F_script01_1_M002,Four o clock this morning. I heard a crack and I woke up and looked out. He was standing right over there when it cracked.,Neutral,validation,1
164,Ses01F_script01_1_M016,You know it's not just my business.,Neutral,train,1
165,Ses01F_script01_1_M019,"You know sometimes you infuriate me. you know that? Isn't it your business if I tell father and he throws a fit about it? God, you have such a talent for ignoring things.",Negative,train,0
166,Ses01F_script01_1_M034,"I'll get out. I'll get married and I'll move somewhere else, maybe New York.",Neutral,train,1
167,Ses01F_script01_1_M039,"On this, I would.",Neutral,validation,1
168,Ses01F_script01_1_M040,Then help me stay here.,Neutral,train,1
169,Ses01F_script01_2_F003,He's not going to marry her.,Negative,train,0
170,Ses01F_script01_2_F004,It's got that about it.,Negative,validation,0
171,Ses01F_script01_2_F005,"What is going on here, Joe?",Negative,train,0
172,Ses01F_script01_2_F006,She is not his girl. She knows she's not.,Negative,train,0
173,Ses01F_script01_2_F007,"Then why is she still single? New York is full of men, why is she still single? Probably a hundred people told her she's foolish, but she waited.",Negative,train,0
174,Ses01F_script01_2_F008,"Because she knows what I know, that's why. She's faithful as a rock. In my darkest moments, I think of her waiting and I know that I'm right.",Negative,train,0
175,Ses01F_script01_2_F009,"Nobody in this house dares take away her faith, Joe. You know strangers might, but not his father, not his brother.",Negative,train,0
176,Ses01F_script01_2_F010,"I want you to-- I want you to act like he is coming back, both of you. Don't think I haven't noticed you since Chris invited her here.",Negative,train,0
177,Ses01F_script01_2_F011,I won't stand for any nonsense.,Negative,train,0
178,Ses01F_script01_2_F012,"Because if he's not coming back, I'll kill myself. Oh laugh, laugh all you like but why does this happen the very night he comes back. She goes to sleep in his room and his memorial breaks in pieces. Look at it, Joe, look.",Negative,train,0
179,Ses01F_script01_2_F013,"Just believe with me, Joe. Only last week a man came back in Detroit missing longer than Larry. Believe with me. You, above all, have got to believe. Just believe.",Negative,train,0
180,Ses01F_script01_2_M001,Well maybe...maybe he just wanted to see her.,Neutral,train,1
181,Ses01F_script01_2_M004,How do you know he's even thinking about it?,Neutral,validation,1
182,Ses01F_script01_2_M008,How do you know why she waited?,Neutral,train,1
183,Ses01F_script01_2_M017,"What have I got to hide? What the hell is the matter with you, Kate?",Negative,train,0
184,Ses01F_script01_3_F000,You're the only one who still loves his parents.,Neutral,train,1
185,Ses01F_script01_3_F003,"I'm not sorry, no. But I'm...I can't stay.",Neutral,test,1
186,Ses01F_script01_3_F007,I knew they would.,Neutral,train,1
187,Ses01F_script01_3_F008,"Well sure, from your mother's point of view. Why else would I come?",Neutral,test,1
188,Ses01F_script01_3_F009,"I, umm. I guess, I guess that's kind of why I came.",Neutral,train,1
189,Ses01F_script01_3_F010,[BREATHING],Positive,validation,2
190,Ses01F_script01_3_F011,[LAUGHTER],Positive,test,2
191,Ses01F_script01_3_F012,[LAUGHTER],Positive,test,2
192,Ses01F_script01_3_F013,No. No,Positive,train,2
193,Ses01F_script01_3_F014,"Chris, I've been ready a long, long, time.",Neutral,train,1
194,Ses01F_script01_3_F017,Every day since.,Positive,test,2
195,Ses01F_script01_3_F019,beating around the bush.,Positive,train,2
196,Ses01F_script01_3_F020,"I will never forgive you. All I'd done was sit around wondering if I was crazy waiting so long, wondering if you were thinking about me.",Positive,train,2
197,Ses01F_script01_3_F021,Not like that you're not.,Positive,test,2
198,Ses01F_script01_3_F028,"Yeah, sure.",Neutral,train,1
199,Ses01F_script01_3_F029,How many?,Neutral,test,1
200,Ses01F_script01_3_F030,"Aw, geez.",Negative,train,0
201,Ses01F_script01_3_F031,Mmhmm.,Neutral,test,1
202,Ses01F_script01_3_F035,What would I do with a fortune?,Positive,validation,2
203,Ses01F_script01_3_M000,"I know. It kind of went out of style, didn't it?",Neutral,test,1
204,Ses01F_script01_3_M001,You're not sorry you came.,Neutral,test,1
205,Ses01F_script01_3_M003,Well.,Neutral,test,1
206,Ses01F_script01_3_M004,What?,Neutral,train,1
207,Ses01F_script01_3_M005,Well I was kind of planning of sneaking up on you over the course of a week or so. They just take it for granted that we're all set.,Neutral,validation,1
208,Ses01F_script01_3_M008,"I love you. Annie, I love you.",Positive,train,2
209,Ses01F_script01_3_M009,"I don't really have any imagination, that's all I know how to say.",Positive,train,2
210,Ses01F_script01_3_M010,"Am I embarrassing you? Are you - See, I didn't want to do it here with this yard, on this porch. I wanted it to be somewhere new, some place fresh for both of us.",Positive,train,2
211,Ses01F_script01_3_M015,Why didn't you let me know?,Positive,train,2
212,Ses01F_script01_3_M016,Give me a...,Positive,validation,2
213,Ses01F_script01_3_M017,Give me a kiss.,Positive,train,2
214,Ses01F_script01_3_M019,"Oh Annie, we are going to live now. I am going to make you so happy.",Positive,train,2
215,Ses01F_script01_3_M020,I kissed you.,Positive,validation,2
216,Ses01F_script01_3_M021,"Hey, let's drive some place. Huh? Let's get out of here.",Negative,train,0
217,Ses01F_script01_3_M022,No it's nothing like that. It's-,Negative,train,0
218,Ses01F_script01_3_M023,Yeah. I suppose I have been. But it's going from me.,Negative,train,0
219,Ses01F_script01_3_M024,I don't even know how to start.,Negative,train,0
220,Ses01F_script01_3_M025,"It's just all mixed up with so many other things, you know? You know overseas I was in command of a company?",Negative,train,0
221,Ses01F_script01_3_M026,Well I lost them.,Negative,train,0
222,Ses01F_script01_3_M027,Pretty much all.,Negative,train,0
223,Ses01F_script01_3_M028,You can't just toss off a thing like that because they weren't just men. You know?,Negative,train,0
224,Ses01F_script01_3_M029,"Like for instance, there was this one time it had been raining for several days and this kid he just came up to me and he gave me his last pair of dry socks. He just put them in my pocket. That's a little thing, you know, but that's what kind of guys I had.",Negative,train,0
225,Ses01F_script01_3_M030,"They didn't die, they killed themselves for each other. I mean that, exactly. Just a little more selfish and they would all be here today.",Negative,test,0
226,Ses01F_script01_3_M032,"To bring that on to the earth again, you know, is like some kind of monument and I thought I would just make a difference to them.",Negative,test,0
227,Ses01F_script01_3_M033,"But then I came home and it was incredible, you know? The whole thing was just kind of this random bus accident. You know, I went back to the rat race again, I went to work.",Negative,validation,0
228,Ses01F_script01_3_M036,And I didn't want any of it. I guess that included you.,Negative,train,0
229,Ses01F_script01_3_M037,I just want you to know Annie.,Neutral,validation,1
230,Ses01F_script02_1_F000,Fine.,Neutral,train,1
231,Ses01F_script02_1_F006,You keep saying my flashlight like it's just yours.,Negative,train,0
232,Ses01F_script02_1_F007,How's that supposed to make me feel?,Negative,train,0
233,Ses01F_script02_1_F009,[LAUGHTER],Positive,validation,2
234,Ses01F_script02_1_F010,I'm cold.,Negative,test,0
235,Ses01F_script02_1_F024,That's the wind.,Neutral,test,1
236,Ses01F_script02_1_F025,About what?,Neutral,train,1
237,Ses01F_script02_1_M007,"The flashlight, the silver one. There's only one, isn't there?",Neutral,train,1
238,Ses01F_script02_1_M008,Whose is it?,Neutral,train,1
239,Ses01F_script02_1_M009,"Oh...well. Yeah, of course.",Neutral,train,1
240,Ses01F_script02_1_M014,"Huh. Are you cold? Do you want my jacket? No? you know, we should have brought the blanket? Our blanket.",Neutral,train,1
241,Ses01F_script02_1_M029,"There's like mystery here, there's magic. It's like a little bit of the unexplainable. I just can't see how you're not interested.",Neutral,test,1
242,Ses01F_script02_1_M031,"God, I don't get it. you know the first time we came here, you said it was the best night of your life?",Neutral,test,1
243,Ses01F_script02_1_M032,"And last year, I remember distinctly you said, you were so excited to get here that you don't remember you stubbed your toe until we were in the car.",Neutral,validation,1
244,Ses01F_script02_1_M033,Ahh...we weren't in a good spot.,Neutral,train,1
245,Ses01F_script02_1_M034,"We just weren't in a good spot. I'm telling you, this is a much better spot. I have instincts for these things.",Neutral,train,1
246,Ses01F_script02_1_M036,"God, this is great. Think about this. I know you are not interested, but just think about this.",Positive,train,2
247,Ses01F_script02_1_M043,So what do you think?,Positive,test,2
248,Ses01F_script02_1_M044,"About all of that, about all I was talking about.",Positive,validation,2
249,Ses01F_script02_2_F000,That's the wind.,Neutral,train,1
250,Ses01F_script02_2_F001,About what?,Neutral,validation,1
251,Ses01F_script02_2_F006,"Don't ask me that. I hate it when you ask me that, you always ask me that. It's insulting.",Negative,train,0
252,Ses01F_script02_2_F008,"For God- Grow up, Augie. The fish are not going to arrive.",Negative,train,0
253,Ses01F_script02_2_F009,Because they never do. Have they...Have they ever?,Negative,test,0
254,Ses01F_script02_2_F010,Twice is every time we have tried; that's ever.,Negative,validation,0
255,Ses01F_script02_2_F015,"I feel like I'm always just standing here waiting. I feel like this night is going to be the night, but it never is.",Negative,validation,0
256,Ses01F_script02_2_F016,"For God's sake, this is not about fish.",Negative,test,0
257,Ses01F_script02_2_F017,Do you remember the first year we came here? It was like four years after we got married.,Neutral,validation,1
258,Ses01F_script02_2_F019,"You whispered the sweetest, most intimate things to me right into my ear so I could feel them as much as hear them. And I remember thinking, this is it. You know, finally, I am as happy as I'm supposed to be.",Positive,train,2
259,Ses01F_script02_2_F022,I'd rather not remember some things. I'd rather not hope for some things.,Negative,train,0
260,Ses01F_script02_2_F023,No.,Neutral,train,1
261,Ses01F_script02_2_F026,No.,Neutral,train,1
262,Ses01F_script02_2_F034,"I know you are Augie, I know.",Negative,train,0
263,Ses01F_script02_2_F035,"I know you meant this to be special, I know that you wanted it to be right, but I just can't help thinking that, I can't help wishing that I was somewhere else.",Negative,train,0
264,Ses01F_script02_2_F036,I didn't say that.,Negative,train,0
265,Ses01F_script02_2_F040,"You're the one who probably wishes he was with somebody else. Somebody who doesn't take things so seriously, who could enjoy herself.",Negative,train,0
266,Ses01F_script02_2_F041,"So maybe we are in the wrong spot, but we are with the right person.",Neutral,test,1
267,Ses01F_script02_2_F042,"Hmm. I noticed that, it's pretty. Big old white moon.",Positive,train,2
268,Ses01F_script02_2_F043,"Augie, you bought refreshments.",Positive,validation,2
269,Ses01F_script02_2_F044,I guess we don't need glasses.,Positive,train,2
270,Ses01F_script02_2_F045,I'm beginning to think this might be the right spot after all.,Positive,train,2
271,Ses01F_script02_2_F046,"Augie, I'm sorry.",Negative,train,0
272,Ses01F_script02_2_F047,Or not.,Neutral,test,1
273,Ses01F_script02_2_M002,About what I was saying.,Neutral,train,1
274,Ses01F_script02_2_M006,"Carla, can I ask you something? Now, don't take this the wrong way, but are you on your period?",Neutral,validation,1
275,Ses01F_script02_2_M016,"Okay. So you were fine during that phone call from Marge and then dinner was okay. And doing the dishes was fine and then I was going to take a shower and you're watching the news and you said the grunions are running tonight, do you want to go? And I said, sure great, let's go.",Neutral,train,1
276,Ses01F_script02_2_M024,Do you want to take off your shoes?,Positive,train,2
277,Ses01F_script02_2_M026,Do you want to get married again?,Positive,validation,2
278,Ses01F_script02_2_M037,"Maybe if you were with someone else, too.",Negative,train,0
279,Ses01F_script02_2_M038,I just- I know I don't make you happy.,Negative,train,0
280,Ses01F_script02_2_M042,"We have a great view of the moon from here, though, huh?",Neutral,validation,1
281,Ses01F_script02_2_M043,[BREATHING],Neutral,train,1
282,Ses01F_script02_2_M044,And look what I got here.,Positive,train,2
283,Ses01F_script02_2_M046,[BREATHING],Positive,train,2
284,Ses01F_script02_2_M047,Do you want to go home? Are you cold?,Neutral,train,1
285,Ses01F_script02_2_M048,"Shh. If we're very quiet, the fish might come.",Neutral,train,1
286,Ses01F_script02_2_M049,Or not.,Positive,validation,2
287,Ses01F_script03_1_F005,[LAUGHTER] That sent shivers up my spine.,Positive,train,2
288,Ses01F_script03_1_F010,Yes. Meaning just that.,Positive,train,2
289,Ses01F_script03_1_F011,Don't laugh at me. I'm being serious.,Positive,train,2
290,Ses01F_script03_1_F020,[LAUGHTER],Positive,validation,2
291,Ses01F_script03_1_F021,"Oh Elliott, worms don't pop.",Positive,train,2
292,Ses01F_script03_1_F022,"Aw. Thank you, darling. The same applies to you too, except that if you so much as look at another woman I'll kill you.",Positive,train,2
293,Ses01F_script03_1_F029,"The manager came in, he found us rolling about the floor, biting and scratching like panthers. [LAUGHTER] How utterly, utterly ridiculous.",Positive,train,2
294,Ses01F_script03_1_F030,[LAUGHTER] And very much sillier.,Positive,train,2
295,Ses01F_script03_1_M007,No. Wrong number. [LAUGHTER],Positive,train,2
296,Ses01F_script03_1_M008,What shall we do if they suddenly walk in on us.[LAUGHTER],Positive,train,2
297,Ses01F_script03_1_M009,With perfect poise.,Positive,train,2
298,Ses01F_script03_1_M010,"It's strange; things that ought to matter dreadfully, they just don't matter at all when one's happy. Do they?",Positive,train,2
299,Ses01F_script03_1_M013,"Well what does it all mean? That's what I ask myself in my quest for ultimate truth. Dear God, what does it all mean?",Positive,train,2
300,Ses01F_script03_1_M018,Who knows?,Positive,test,2
301,Ses01F_script03_1_M025,Oh Come and kiss me darling before your body rots and worms pop out of your eye sockets.,Positive,validation,2
302,Ses01F_script03_1_M026,"Oh See, I don't care what you do, see. You can paint yourself green and run naked through the Place Vendome and run off with all of the men of the world. I shan't say a word, just as long as you love me best.",Positive,train,2
303,Ses01F_script03_1_M034,"That was a rouser, wasn't it?",Positive,validation,2
304,Ses01F_script03_1_M036,[LAUGHTER] I'll never forget his face. [LAUGHTER],Positive,train,2
305,Ses01F_script03_1_M037,[LAUGHTER] We were very much younger then.,Positive,train,2
306,Ses01F_script03_2_F000,And very much sillier.,Positive,validation,2
307,Ses01F_script03_2_F001,Oh. You knew there was nothing in that.,Positive,train,2
308,Ses01F_script03_2_F002,"Presents? It was only a trivial, little brooch.",Positive,train,2
309,Ses01F_script03_2_F004,I did not. You worked that whole thing up in your jealous imagination.,Neutral,test,1
310,Ses01F_script03_2_F005,"Well, what of it?",Neutral,train,1
311,Ses01F_script03_2_F013,Don't be stupid.,Negative,test,0
312,Ses01F_script03_2_F014,What?,Negative,validation,0
313,Ses01F_script03_2_F015,No. I am just making myself fascinating for you.,Negative,test,0
